---------- Begin SLURM Prolog ----------
Job ID:        7313753
Username:      sportega
Accountname:   lc_an2
Name:          c
Partition:     main
Nodelist:      hpc3888
TasksPerNode:  16
CPUsPerTask:   Default[1]
TMPDIR:        /tmp/7313753.main
SCRATCHDIR:    /staging/scratch/7313753
Cluster:       uschpc
HSDA Account:  false
---------- 2020-05-12 05:34:40 ---------
LAMMPS (7 Aug 2019)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (../comm.cpp:93)
  using 1 OpenMP thread(s) per MPI task
using multi-threaded neighbor list subroutines
Reading restart file ...
  restart file = 7 Aug 2019, LAMMPS = 7 Aug 2019
  restoring atom style full from restart
  orthogonal box = (0 0 0) to (150 150 288.378)
  1 by 1 by 16 MPI processor grid
  restoring pair style lj/cut/tip4p/long from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  5084 atoms
  976 bonds
  488 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:   0          0          0         
  special bond factors coul: 0          0          0         
  2 = max # of 1-2 neighbors
  1 = max # of 1-3 neighbors
  1 = max # of 1-4 neighbors
  2 = max # of special neighbors
  special bonds CPU = 0.000956059 secs
  read_restart CPU = 0.057318 secs
1464 atoms in group 5Water_atoms
3620 atoms in group 6CNT_atoms
976 atoms in group 8Hydrogen
488 atoms in group 7Oxygen
Finding SHAKE clusters ...
  0 = # of size 2 clusters
  0 = # of size 3 clusters
  0 = # of size 4 clusters
  488 = # of frozen angles
  find clusters CPU = 0.000634909 secs
PPPM initialization ...
  extracting TIP4P info from pair style
  using 12-bit tables for long-range coulomb (../kspace.cpp:323)
  G vector (1/distance) = 0.243104
  grid = 64 64 108
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00402049
  estimated relative force accuracy = 1.21076e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 61893 28672
No /omp style for force computation currently active
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.3154
  ghost atom cutoff = 12.3154
  binsize = 6.1577, bins = 25 25 47
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/tip4p/long, perpetual
      attributes: half, newton on, omp
      pair build: half/bin/newton/omp
      stencil: half/bin/3d/newton
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 3000000
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 17.19 | 17.65 | 17.93 Mbytes
PotEng KinEng TotEng c_ke_H2O c_ke_CNT c_pe_sumH2O c_pe_sumCNT Temp c_temwater c_temcnt Press Pxx Pzz E_coul E_long Step 
  -5913.6139    777.91117   -5135.7028    777.91117            0   -5429.3285    -484.2854    56.795011    267.66469            0    59.661663    80.332775    25.056837     34349.95   -41265.307  3076000 
  -5839.5631     787.6613   -5051.9018     787.6613            0   -5345.2263    -494.3368    57.506864    271.01953            0    59.326939     75.01368    24.587988    34462.961   -41266.048  3078000 
  -5870.0013     786.2433    -5083.758     786.2433            0    -5380.036   -489.96526    57.403337    270.53162            0    59.276842    78.026642    24.401899    34409.729    -41265.52  3080000 
  -5876.0901    773.06755   -5103.0225    773.06755            0   -5389.3084    -486.7817     56.44138     265.9981            0    58.915747    78.837003    24.694941    34418.777   -41264.819  3082000 
  -5857.4435    822.24032   -5035.2032    822.24032            0   -5377.1492   -480.29436    60.031466    282.91752            0    60.627262    74.554672    26.518917    34417.946   -41262.768  3084000 
  -5849.5297    766.27531   -5083.2544    766.27531            0   -5353.4849   -496.04479    55.945481    263.66101            0    58.689102    74.931836    26.276606    34469.984   -41265.015  3086000 
  -5876.9529    779.50262   -5097.4503    779.50262            0   -5383.2474   -493.70553    56.911202    268.21228            0    60.053362    76.338434     24.69037    34388.254   -41264.448  3088000 
   -5848.267     806.3092   -5041.9578     806.3092            0   -5361.7652   -486.50183    58.868341    277.43593            0      59.6346     78.90203    25.787241     34445.33   -41265.926  3090000 
  -5879.7256    788.08533   -5091.6403    788.08533            0   -5395.0796   -484.64606    57.537823    271.16543            0    59.839009    80.344584    22.514254    34398.436   -41265.547  3092000 
  -5879.3637     792.1667    -5087.197     792.1667            0   -5391.4986   -487.86518    57.835802    272.56976            0    57.737961    72.706114     25.53569     34465.12   -41264.768  3094000 
  -5876.7326    765.05387   -5111.6787    765.05387            0   -5379.5496   -497.18299    55.856304    263.24074            0    61.469471    81.118179    25.432295    34337.093   -41266.062  3096000 
  -5878.2194    827.20124   -5051.0181    827.20124            0   -5385.4676   -492.75177    60.393661    284.62449            0    59.246902    77.467758    26.517179    34419.312   -41262.694  3098000 
  -5889.9879    774.59538   -5115.3925    774.59538            0   -5402.2675   -487.72042    56.552927    266.52379            0    58.130342    74.398338    22.179153    34429.485   -41263.278  3100000 
  -5877.4809    757.61571   -5119.8652    757.61571            0   -5375.6112   -501.86972    55.313247    260.68141            0    59.347015    75.721822    25.675854    34411.577   -41265.653  3102000 
  -5863.9944    785.35036    -5078.644    785.35036            0   -5376.4017   -487.59269    57.338144    270.22438            0    58.559899     73.35718    24.151601    34454.043   -41264.472  3104000 
  -5905.2455    767.05889   -5138.1866    767.05889            0   -5407.3253   -497.92025     56.00269    263.93063            0    58.762016    75.955932    24.775717    34372.039    -41263.43  3106000 
  -5867.4944    803.48684   -5064.0076    803.48684            0   -5372.9086   -494.58588    58.662282     276.4648            0     60.69081     78.20655    25.950084    34378.611   -41265.528  3108000 
   -5876.493    794.45105    -5082.042    794.45105            0   -5392.3805   -484.11256    58.002582    273.35576            0    56.881914    74.054557    22.516907    34484.803   -41264.353  3110000 
  -5874.1207     815.3857    -5058.735     815.3857            0   -5390.7419   -483.37884    59.531013    280.55898            0    57.981138    77.439559    20.747916    34474.468   -41264.961  3112000 
  -5868.8288    772.92008   -5095.9087    772.92008            0   -5379.6401   -489.18875    56.430614    265.94735            0    59.943661    80.825817    24.921048    34402.379   -41265.468  3114000 
